公司名称,职位,职位类型,薪资待遇,职位诱惑,地区,类型,工作经验,学历,公司类型
北京数美时代科技有限公司,数据分析师,开发/测试/运维类,15k-25k,"大牛如云,技术氛围,大佬领投,七险一金",朝阳区,全职,1-3年,本科,"企业服务,数据服务"
北京瓴岳信息技术有限公司,数据分析师,金融类,25k-45k,"弹性工作制,六险一金,14薪,午餐晚餐",朝阳区,全职,3-5年,本科,"移动互联网,金融"
奇虎360科技有限公司,数据分析师,产品/需求/项目类,15k-25k,"管吃管喝,免费班车,六险一金,成长机会",朝阳区,全职,1-3年,本科,"移动互联网,游戏"
北京尚德在线教育科技有限公司,数据分析师,产品/需求/项目类,12k-24k,"五险一金,扁平化管理,15薪",朝阳区,全职,1-3年,本科,教育
北京斗米优聘科技发展有限公司,数据分析师,产品/需求/项目类,10k-20k,六险一金,海淀区,全职,1-3年,本科,"移动互联网,O2O"
北京智融时代科技有限公司,数据分析,产品/需求/项目类,7k-14k,六险一金、导师制、优秀团队、成长快速,海淀区,全职,应届毕业生,本科,金融
北京弘合柏基金融信息服务有限责任公司,大数据研发工程师-大数据分析师,开发/测试/运维类,18k-35k,"团队稳定,周末双休,薪资待遇好",朝阳区,全职,3-5年,本科,金融
北京三快在线科技有限公司,数据分析岗-业务发展部,运营/编辑/客服,10k-15k,大平台，空间大，发展好,朝阳区,全职,3-5年,本科,"移动互联网,O2O"
神策网络科技（北京）有限公司,数据分析师-北京,产品/需求/项目类,15k-25k,五险一金,海淀区,全职,5-10年,本科,数据服务
北京同城翼龙网络科技有限公司,数据分析师,产品/需求/项目类,20K-30K,"晋升空间大,学习机会多",海淀区,全职,5-10年,大专,金融
北京猎户星空科技有限公司,数据分析师,产品/需求/项目类,15k-30k,五险一金 带薪年假 晋升空间 绩效奖金,朝阳区,全职,1-3年,本科,"移动互联网,硬件"
上海任意门科技有限公司,数据仓库与数据分析工程师,开发/测试/运维类,15k-30k,"高薪资,股权激励",海淀区,全职,3-5年,本科,"社交网络,文化娱乐"
汇联金科信息技术（北京 )有限公司,数据分析师,产品/需求/项目类,10k-15k,"五险一金,年终绩效,节日福利,带薪年假",朝阳区,全职,3-5年,本科,金融
北京趣拿软件科技有限公司,数据分析工程师-专车事业部,开发/测试/运维类,25k-35k,发展前景广阔，福利待遇优厚，工作环境优良,海淀区,全职,3-5年,本科,移动互联网
随行付支付有限公司,数据分析工程师,开发/测试/运维类,15k-28k,"平台大,氛围好,离地铁近,薪资给力",海淀区,全职,3-5年,本科,金融
北京数美时代科技有限公司,数据分析师,开发/测试/运维类,15k-25k,"大牛如云,技术氛围,大佬领投,七险一金",朝阳区,全职,1-3年,本科,"企业服务,数据服务"
北京瓴岳信息技术有限公司,数据分析师,金融类,25k-45k,"弹性工作制,六险一金,14薪,午餐晚餐",朝阳区,全职,3-5年,本科,"移动互联网,金融"
